"Placement State","Nationality","Placement City","CY 2010","CY 2011","CY 2012","CY 2013","CY 2014","CY 2015","CY 2016","CY 2017","CY 2018","CY 2019","CY 2020","center"
"Alabama","Somalia","Albertville","0","5","0","0","0","0","0","0","0","0","0","[-86.2089,34.2676]"
"Alabama","Burma","Auburn","0","1","0","0","0","0","0","0","0","0","0","[-85.4808,32.6099]"
"Alabama","Colombia","Bessemer","0","0","0","0","0","0","0","3","0","0","0","[-86.9544,33.4018]"
"Alabama","Burma","Birmingham","0","1","0","0","0","1","0","1","1","0","0","[-86.8024,33.5207]"
"Alabama","Iraq","Birmingham","0","0","2","0","0","0","0","0","0","0","0","[-86.8024,33.5207]"
"Alabama","Vietnam","Birmingham","0","0","0","0","0","0","0","0","5","0","0","[-86.8024,33.5207]"
"Alabama","Iraq","Dadeville","0","0","0","1","0","0","0","0","0","0","0","[-85.7636,32.8312]"
"Alabama","Ethiopia","Elba","0","0","0","0","2","0","0","0","0","0","0","[-86.0677,31.4146]"
"Alabama","Honduras","Foley","0","0","0","0","0","0","0","0","0","4","0","[-87.6836,30.4066]"
"Alabama","Iraq","Foley","0","0","0","0","7","0","0","0","0","0","0","[-87.6836,30.4066]"
"Alabama","Ethiopia","Guntersville","0","0","0","0","0","1","0","0","0","0","0","[-86.2947,34.3581]"
"Alabama","Iraq","Huntsville","1","0","0","0","0","0","0","0","0","0","0","[-86.5859,34.7298]"
"Alabama","Ukraine","Huntsville","0","0","0","0","0","0","0","3","0","4","0","[-86.5859,34.7298]"
"Alabama","Vietnam","Jasper","0","0","0","0","0","0","0","0","3","0","0","[-87.2775,33.8312]"
"Alabama","Afghanistan","Mobile","8","5","7","9","1","0","9","9","0","0","0","[-88.1946,30.6488]"
"Alabama","Burma","Mobile","0","1","15","7","14","13","2","0","0","0","0","[-88.1946,30.6488]"
"Alabama","Burundi","Mobile","1","0","0","0","0","0","0","0","0","0","0","[-88.1946,30.6488]"
"Alabama","Central African Republic","Mobile","0","0","0","0","0","0","5","0","0","0","0","[-88.1946,30.6488]"
"Alabama","Colombia","Mobile","0","0","0","0","5","8","2","0","0","0","0","[-88.1946,30.6488]"
"Alabama","Cuba","Mobile","17","0","5","6","10","0","2","0","0","0","0","[-88.1946,30.6488]"
"Alabama","Dem. Rep. Congo","Mobile","7","0","21","0","5","42","54","19","22","13","5","[-88.1946,30.6488]"
"Alabama","Eritrea","Mobile","4","0","1","1","2","0","0","0","0","0","0","[-88.1946,30.6488]"
"Alabama","Ethiopia","Mobile","3","1","7","1","1","0","0","0","0","0","0","[-88.1946,30.6488]"
"Alabama","Iran","Mobile","0","15","1","6","3","5","0","0","0","0","0","[-88.1946,30.6488]"
"Alabama","Iraq","Mobile","81","16","16","63","29","16","23","5","0","0","0","[-88.1946,30.6488]"
"Alabama","Ivory Coast","Mobile","0","0","0","0","1","0","0","0","0","0","0","[-88.1946,30.6488]"
"Alabama","Pakistan","Mobile","0","0","15","0","0","0","4","0","0","0","0","[-88.1946,30.6488]"
"Alabama","Rwanda","Mobile","0","0","0","0","0","0","6","0","0","0","0","[-88.1946,30.6488]"
"Alabama","Somalia","Mobile","25","40","48","6","22","10","11","3","3","0","0","[-88.1946,30.6488]"
"Alabama","Sudan","Mobile","0","0","10","22","14","1","2","6","0","0","0","[-88.1946,30.6488]"
"Alabama","Vietnam","Mobile","1","0","0","0","0","0","0","0","0","0","0","[-88.1946,30.6488]"
"Alabama","Guatemala","Montgomery","0","0","0","0","0","0","0","0","0","0","1","[-86.3006,32.367]"
"Alabama","Iran","Pelham","2","0","0","0","0","0","0","0","0","0","0","[-86.81,33.2857]"
"Alabama","Iraq","Prattville","1","0","0","0","0","0","0","0","0","0","0","[-86.4597,32.464]"
"Alabama","El Salvador","Robertsdale","0","0","0","0","0","0","0","0","1","0","0","[-87.7119,30.5538]"
"Alabama","Cuba","Russellville","2","0","0","0","0","0","0","0","0","0","0","[-87.7294,34.5067]"
"Alabama","Cuba","Theodore","0","0","1","0","0","0","0","0","0","0","0","[-88.1753,30.5477]"
"Alabama","Iraq","Theodore","0","0","0","0","0","0","0","1","0","0","0","[-88.1753,30.5477]"
"Alabama","Iraq","Vestavia Hills","0","1","0","0","0","0","0","0","0","0","0","[-86.7878,33.4487]"
"Alaska","Bhutan","Anchorage","42","17","6","5","10","4","6","0","0","0","0","[-149.8949,61.2163]"
"Alaska","Burma","Anchorage","0","23","30","9","4","17","4","0","0","0","0","[-149.8949,61.2163]"
"Alaska","Colombia","Anchorage","0","0","0","6","0","0","0","0","0","0","0","[-149.8949,61.2163]"
"Alaska","Congo","Anchorage","0","0","0","0","3","0","0","0","0","0","0","[-149.8949,61.2163]"
"Alaska","Cuba","Anchorage","0","0","0","3","6","0","0","0","0","0","0","[-149.8949,61.2163]"
"Alaska","Dem. Rep. Congo","Anchorage","0","0","0","0","42","6","24","9","6","8","0","[-149.8949,61.2163]"
"Alaska","Eritrea","Anchorage","4","0","2","1","7","8","7","0","0","0","0","[-149.8949,61.2163]"
"Alaska","Ethiopia","Anchorage","0","0","1","0","2","2","6","0","0","0","0","[-149.8949,61.2163]"
"Alaska","Iran","Anchorage","0","0","0","0","1","0","0","0","0","0","0","[-149.8949,61.2163]"
"Alaska","Iraq","Anchorage","13","0","5","3","22","2","1","0","0","0","0","[-149.8949,61.2163]"
"Alaska","Palestine","Anchorage","7","0","0","0","0","0","0","0","0","0","0","[-149.8949,61.2163]"
"Alaska","Republic of South Sudan","Anchorage","0","0","0","0","0","0","4","4","0","0","5","[-149.8949,61.2163]"
"Alaska","Russia","Anchorage","5","0","0","0","0","0","0","0","0","0","0","[-149.8949,61.2163]"
"Alaska","Rwanda","Anchorage","0","0","0","0","0","6","0","0","0","0","0","[-149.8949,61.2163]"
"Alaska","Somalia","Anchorage","29","45","25","22","79","46","31","1","0","0","0","[-149.8949,61.2163]"
"Alaska","Sudan","Anchorage","3","5","22","39","27","10","1","0","5","0","0","[-149.8949,61.2163]"
"Alaska","Ukraine","Anchorage","4","0","0","0","0","3","1","3","5","5","0","[-149.8949,61.2163]"
"Alaska","Uzbekistan","Anchorage","0","0","6","0","0","1","0","0","0","0","0","[-149.8949,61.2163]"
"Alaska","Russia","Delta Junction","0","0","0","0","0","0","0","5","0","0","1","[-145.7315,64.0367]"
"Alaska","Ukraine","Delta Junction","0","0","0","0","0","0","0","0","13","0","0","[-145.7315,64.0367]"
"Alaska","Ukraine","Eagle River","0","2","0","0","0","0","0","0","0","0","0","[-149.5613,61.3154]"
"Alaska","Russia","Fairbanks","0","0","0","0","0","1","0","0","0","0","0","[-147.7164,64.8378]"
"Alaska","Iraq","Jber","0","0","0","1","0","0","0","0","0","0","0","[-149.74,61.23]"
"Alaska","Iran","Juneau","0","3","0","0","0","0","0","0","0","0","0","[-134.4197,58.3019]"
"Alaska","Burma","Kodiak","0","3","0","0","0","0","0","0","0","0","0","[-152.4072,57.79]"
"Alaska","Ukraine","Sterling","0","0","0","0","0","0","5","0","0","0","0","[-150.7589,60.5369]"
"Alaska","Moldova","Wasilla","0","0","0","0","0","0","0","0","4","0","0","[-149.4381,61.5828]"
"Alaska","Russia","Wasilla","0","0","0","0","0","0","6","6","0","0","10","[-149.4381,61.5828]"
